FRAMES,First_FORCE_X,First_FORCE_Y,First_FORCE_Z,First_COFP_X,First_COFP_Y,First_COFP_Z,First_FREEMOMENT_Z,Second_FORCE_X,Second_FORCE_Y,Second_FORCE_Z,Second_COFP_X,Second_COFP_Y,Second_COFP_Z,Second_FREEMOMENT_Z,Heel_Strike1,Toe_Off1,Heel_Strike2
98,-2.7328705488234764e-30,2.0641178307497576e-30,4.866558362331116e-30,,,,1.5953606115648257e-31,5.323108751254142e-46,9.048135933805243e-47,7.608606682082035e-45,,,,2.119071191479147e-46,928,480,1760
99,-3.986721050515411e-30,3.012384777087476e-30,7.085055700647735e-30,,,,2.3327444413430398e-31,5.774386339370123e-46,8.512134721188248e-47,8.214963333791455e-45,,,,2.292121047363242e-46,928,480,1760
100,-5.247576404935093e-30,3.9661095104730496e-30,9.314104583988086e-30,,,,3.0749471799534438e-31,5.971596140472113e-46,7.369058735799768e-47,8.452966352554467e-45,,,,2.363142015740684e-46,928,480,1760
101,-6.442240174405015e-30,4.8699562750048464e-30,1.142394733016545e-29,,,,3.779016373265312e-31,5.853892275207342e-46,5.568972351831249e-47,8.237233141821838e-45,,,,2.3081828901436725e-46,928,480,1760
102,-7.48725958363162e-30,5.660826038701917e-30,1.3266754861659342e-29,,,,4.395939152483291e-31,5.367270048317107e-46,3.0911209246660883e-47,7.492680582173651e-45,,,,2.106104750356765e-46,928,480,1760
103,-8.291874427484362e-30,6.270084548028202e-30,1.4681869166576332e-29,,,,4.872367052779156e-31,4.469083555854366e-46,-4.9192851706864e-49,6.160958467874436e-45,,,,1.7403753079044709e-46,928,480,1760
104,-8.761968937351893e-30,6.62654900246835e-30,1.5502819207102205e-29,,,,5.152931098114287e-31,3.1327662305259754e-46,-3.794533405665719e-47,4.2071390043506257e-45,,,,1.2009382367812089e-46,928,480,1760
105,-8.804987101496474e-30,6.660203613277174e-30,1.5566038758062696e-29,,,,5.183124534745123e-31,1.352514493226246e-46,-8.040571835924417e-47,1.626316397508504e-45,,,,4.860614751069595e-47,928,480,1760
106,-8.335707319499733e-30,6.306565456092933e-30,1.472110018050165e-29,,,,4.912692653138263e-31,-8.523495689221919e-47,-1.263317661356969e-46,-1.550291094442413e-45,,,,-3.959488606668084e-47,928,480,1760
107,-7.282701303095772e-30,5.511568361839042e-30,1.2842152493274405e-29,,,,4.299427430729895e-31,-3.4336565941954636e-46,-1.7367885826824962e-46,-5.2501937705796054e-45,,,,-1.4252963063702028e-46,928,480,1760
108,-5.595227781863447e-30,4.236776356054428e-30,9.840120567275058e-30,,,,3.3132209934591307e-31,-6.311653565873744e-46,-2.199225321840256e-46,-9.355926929403441e-45,,,,-2.569640161531962e-46,928,480,1760
109,-3.2502375733264816e-30,2.4646821812016185e-30,5.675091468237532e-30,,,,1.9401883257935191e-31,-9.373605188903352e-46,-2.6211485637186387e-46,-1.3703289641940173e-44,,,,-3.783579299924863e-46,928,480,1760
110,-2.590973771406624e-31,2.037940794382705e-31,3.6819179220390407e-31,,,,1.866288653645041e-32,-1.2474074699442332e-45,-2.9697675757203845e-46,-1.8082006011724955e-44,,,,-5.008808294297992e-46,928,480,1760
111,3.3264197270305525e-30,-2.5068309288888718e-30,-5.987844834691219e-30,,,,-1.9174384514553285e-31,-1.54371926259898e-45,-3.2102780157110415e-46,-2.223923879322172e-44,,,,-6.1750667776317744e-46,928,480,1760
112,7.409373246560749e-30,-5.5939824703479386e-30,-1.3220298504729852e-29,,,,-4.315458290970716e-31,-1.8061164202507822e-45,-3.307530045243282e-46,-2.5886299803628847e-44,,,,-7.201979469786693e-46,928,480,1760
113,1.184464323361056e-29,-8.948013868665725e-30,-2.1071191102632504e-29,,,,-6.922545756188839e-31,-2.0125182299026563e-45,-3.228039802639849e-46,-2.870877922075169e-44,,,,-8.001850496010841e-46,928,480,1760
114,1.6438183919484592e-29,-1.2422271661862122e-29,-2.9196034975534673e-29,,,,-9.625021165793557e-31,-2.1398802804136945e-45,-2.9422917717757524e-46,-3.038015670102039e-44,,,,-8.483431515396197e-46,928,480,1760
115,2.0949025770965782e-29,-1.583460283571228e-29,-3.71674545381144e-29,,,,-1.2281557363664975e-30,-2.165370481460773e-45,-2.4272522255957342e-46,-3.0578763560308363e-44,,,,-8.556629375952091e-46,928,480,1760
116,2.5094439658876203e-29,-1.8971252879567458e-29,-4.4484410027544707e-29,,,,-1.472618389111383e-30,-2.0677601945944235e-45,-1.6689859902714582e-46,-2.9007741803417365e-44,,,,-8.13805682321192e-46,928,480,1760
117,2.8558569944671885e-29,-2.159338701918571e-29,-5.058756254527763e-29,,,,-1.6773329860885578e-30,-1.8289898645639868e-45,-6.652418065177729e-47,-2.5417400016311736e-44,,,,-7.157261264490977e-46,928,480,1760
